scenario,s,S,average_daily_cost,average_fixed_order_cost,average_unit_order_cost,average_holding_cost,average_shortage_cost,stockout_rate,fill_rate,average_ending_inventory,average_order_quantity,order_frequency
baseline_mixed,3,11,21.4694635845,9.9437288640,6.1864560571,5.0451028919,0.2941757715,0.0288521392,0.9882517663,5.0451028919,3.0932280286,0.3314576288
baseline_mixed,4,14,21.5257502116,8.1982658783,6.2458565245,7.0250539068,0.0565739020,0.0070717377,0.9977406589,7.0250539068,3.1229282623,0.2732755293
baseline_mixed,3,22,21.5268992176,4.5908648014,6.2247981786,10.5704289520,0.1408072856,0.0136893342,0.9943767058,10.5704289520,3.1123990893,0.1530288267
baseline_mixed,4,19,21.5433298038,5.7070214817,6.2502632173,9.5470979740,0.0389471308,0.0048683913,0.9984446034,9.5470979740,3.1251316087,0.1902340494
baseline_mixed,0,8,21.5604325717,9.9437288640,5.3033220608,2.4866698900,3.8267117569,0.2310526815,0.8471760480,2.4866698900,2.6516610304,0.3314576288
baseline_mixed,2,24,21.6324767205,4.0036331703,6.1713132663,11.1027833492,0.3547469347,0.0289937615,0.9858327901,11.1027833492,3.0856566332,0.1334544390
baseline_mixed,2,9,21.6575900843,11.0362993572,6.0033544772,3.5913541586,1.0265820914,0.0837033425,0.9590023126,3.5913541586,3.0016772386,0.3678766452
baseline_mixed,4,20,21.7169654438,5.3798263945,6.2508268763,10.0496196782,0.0366924948,0.0045865618,0.9985346448,10.0496196782,3.1254134382,0.1793275465
baseline_mixed,1,8,21.7989095673,11.0362993572,5.6772631963,2.7543997990,2.3309472149,0.1630456404,0.9069110537,2.7543997990,2.8386315981,0.3678766452
baseline_mixed,3,23,21.8092447584,4.3768840196,6.2264398152,11.0716801844,0.1342407390,0.0130512824,0.9946389481,11.0716801844,3.1132199076,0.1458961340
baseline_mixed,4,13,21.8239411819,8.9932386981,6.2447060968,6.5248207743,0.0611756127,0.0076469516,0.9975568845,6.5248207743,3.1223530484,0.2997746233
baseline_mixed,4,21,21.9267005658,5.0883791313,6.2513321437,10.5523178656,0.0346714252,0.0043339282,0.9986153584,10.5523178656,3.1256660718,0.1696126377
baseline_mixed,3,10,22.0716666867,11.0362993572,6.1707611622,4.5076508160,0.3569553513,0.0345722074,0.9857445946,4.5076508160,3.0853805811,0.3678766452
baseline_mixed,3,24,22.1109014423,4.1819381493,6.2279322111,11.5727599262,0.1282711557,0.0124707044,0.9948773500,11.5727599262,3.1139661055,0.1393979383
baseline_mixed,4,22,22.1662590593,4.8268733548,6.2517771606,11.0547171864,0.0328913575,0.0041114197,0.9986864474,11.0547171864,3.1258885803,0.1608957785
baseline_mixed,4,12,22.2674986101,9.9437288640,6.2441603355,6.0162507527,0.0633586579,0.0079198322,0.9974697022,6.0162507527,3.1220801678,0.3314576288
